The Location Data: 
Format: location float[3], rotation quaterion float[4] 
Format: time,  x, y, z, x = k.x * sin(theta/2), y = k.y * sin(theta/2), z = k.z * sin(theta/2), w = cos(theta/2) 
10.223616, -0.038046986, 0.21813214, 0.40118206, 0.029037923, -0.37813833, 0.008481234, 0.9252547, 
102.760445, -0.038046986, 0.21813214, 0.40118206, 0.029037923, -0.37813833, 0.008481234, 0.9252547, 
187.6951, -0.038046986, 0.21813214, 0.40118206, 0.029037923, -0.37813833, 0.008481234, 0.9252547, 
273.67834, -0.038046986, 0.21813214, 0.40118206, 0.029037923, -0.37813833, 0.008481234, 0.9252547, 
329.77716, -0.074924834, 0.21147457, 0.44433567, 0.029350385, -0.38289315, 0.0032126307, 0.92332065, 
350.48654, -0.07538165, 0.21172662, 0.44449443, 0.0299225, -0.3832445, 0.0037454963, 0.9231545, 
391.38098, -0.07600705, 0.21202764, 0.44492987, 0.031043053, -0.383791, 0.004038602, 0.92288923, 
422.57614, -0.07682891, 0.21239379, 0.44543657, 0.03225079, -0.38387954, 0.0047971904, 0.92280734, 
453.50912, -0.07642425, 0.21100715, 0.4444475, 0.03372854, -0.38381618, 0.0059771836, 0.92277396, 
484.70425, -0.077532284, 0.21129835, 0.44504732, 0.03579691, -0.38344675, 0.007522583, 0.9228382, 
518.78296, -0.078456275, 0.21160862, 0.44542572, 0.03712897, -0.38320953, 0.0089586675, 0.92287135, 
551.0267, -0.077750206, 0.21132004, 0.4442399, 0.037127063, -0.38363683, 0.00962913, 0.92268723, 
584.5811, -0.0779942, 0.2116121, 0.44415784, 0.037143886, -0.38323122, 0.010137618, 0.9228496, 
618.3977, -0.07804692, 0.21177372, 0.4440653, 0.037349418, -0.38315094, 0.009965926, 0.9228765, 
652.7386, -0.07675844, 0.21131086, 0.4424224, 0.03744468, -0.38260394, 0.00991112, 0.92310023, 
684.19586, -0.076687604, 0.21137697, 0.44210476, 0.03742008, -0.38196552, 0.0101698935, 0.92336273, 
720.63385, -0.076659806, 0.2114252, 0.4418137, 0.03711976, -0.38242608, 0.010175139, 0.92318404, 
751.3047, -0.07340749, 0.21032971, 0.44089514, 0.03707376, -0.38194898, 0.010969728, 0.9233744, 
784.33484, -0.07334427, 0.21033308, 0.44054952, 0.036706135, -0.38190514, 0.011144102, 0.9234051, 
819.2, -0.0732351, 0.21031156, 0.4402326, 0.03648658, -0.3822875, 0.01092574, 0.9232582, 
851.1816, -0.0725668, 0.2098348, 0.43927073, 0.036985114, -0.38148844, 0.011019975, 0.92356765, 
885.52246, -0.07247201, 0.20981441, 0.4386868, 0.036515683, -0.38113618, 0.011140466, 0.9237303, 
924.0576, -0.07242165, 0.2097578, 0.43815356, 0.035937622, -0.381626, 0.010768294, 0.9235551, 
969.9328, -0.07234246, 0.20952925, 0.4378957, 0.035810784, -0.38184512, 0.010658741, 0.92347085, 
985.3993, -0.072518796, 0.20951739, 0.43768874, 0.035723984, -0.38141727, 0.010854989, 0.9236487, 
------------SWITCH------------
2.097152, -0.073004, 0.2093012, 0.43815306, 0.040197507, -0.37574077, 0.013668269, 0.9257517, 
20.447231, -0.07270471, 0.20938691, 0.43789926, 0.03845635, -0.3779822, 0.012358487, 0.9249313, 
56.36096, -0.07240936, 0.20950884, 0.43753886, 0.037754387, -0.37744036, 0.012477398, 0.9251798, 
89.391106, -0.072395764, 0.20960194, 0.43731594, 0.04006055, -0.37409586, 0.014274359, 0.92641443, 
120.58624, -0.066827275, 0.20939322, 0.43589628, 0.0406781, -0.37229204, 0.01506418, 0.9271013, 
155.18925, -0.06593233, 0.20960909, 0.43504006, 0.038064122, -0.3720151, 0.014408857, 0.92733383, 
188.74368, -0.06507704, 0.20970997, 0.43437836, 0.037406832, -0.37006965, 0.014242679, 0.92814124, 
221.24954, -0.06481693, 0.20977631, 0.43381652, 0.03720136, -0.36840862, 0.013986558, 0.92881405, 
254.54182, -0.06407137, 0.20983699, 0.43315783, 0.035022244, -0.36804473, 0.0133732855, 0.9290521, 
288.09625, -0.06361498, 0.20986138, 0.43270528, 0.033911332, -0.36795968, 0.013055921, 0.9291314, 
320.33997, -0.063502684, 0.20966405, 0.43274897, 0.034346938, -0.36842814, 0.01281023, 0.92893326, 
354.94296, -0.063455485, 0.20964417, 0.4326032, 0.034613907, -0.36793447, 0.012879044, 0.9291179, 
388.23526, -0.06348629, 0.2096991, 0.43237782, 0.034917146, -0.3677405, 0.013047367, 0.929181, 
422.57614, -0.06350342, 0.2097741, 0.43211702, 0.034892023, -0.36817515, 0.01272732, 0.9290144, 
454.03342, -0.062797025, 0.2089211, 0.4329637, 0.034828126, -0.36766213, 0.012943745, 0.92921686, 
487.84998, -0.06287984, 0.20900753, 0.4326606, 0.03483188, -0.36747217, 0.013225704, 0.9292879, 
520.35583, -0.06270119, 0.2087371, 0.43213657, 0.034863934, -0.3676352, 0.0134705305, 0.92921877, 
554.95886, -0.06278845, 0.20889097, 0.4319166, 0.03465782, -0.36742687, 0.013748556, 0.92930484, 
588.25116, -0.06296536, 0.20907283, 0.43183875, 0.034589812, -0.36787045, 0.013860941, 0.9291301, 
620.757, -0.064137556, 0.2090021, 0.43232808, 0.035563365, -0.36831623, 0.014056087, 0.9289138, 
654.8357, -0.064506955, 0.20923209, 0.43235666, 0.03548059, -0.3686731, 0.014350206, 0.9287709, 
687.86584, -0.06495059, 0.20949918, 0.43236387, 0.0352574, -0.36947483, 0.014729917, 0.92845476, 
720.896, -0.064589836, 0.20930228, 0.43244937, 0.03580664, -0.37005508, 0.014956951, 0.928199, 
753.92615, -0.0649596, 0.20938914, 0.43262905, 0.035554618, -0.3709283, 0.014860898, 0.9278616, 
789.5777, -0.06524914, 0.20885178, 0.43300304, 0.03468825, -0.37337506, 0.014075786, 0.9269248, 
825.49146, -0.065700136, 0.20866522, 0.4335908, 0.03592071, -0.37447456, 0.013676465, 0.92644024, 
899.4161, -0.065700136, 0.20866522, 0.4335908, 0.03592071, -0.37447456, 0.013676465, 0.92644024, 
